T,genP,demP,H,B
0,0,0.075,2,12
0.5,0,0.076,2,12
1,0,0.079,2,12
1.5,0,0.073,2,12
2,0,0.066,2,12
2.5,0,0.067,2,12
3,0,0.062,2,12
3.5,0,0.063,2,12
4,0,0.103,2,12
4.5,0,0.109,2,12
5,0,0.059,2,12
5.5,0,0.057,2,12
6,0.019,0.082,2,12
6.5,0.163,0.071,2,12
7,0.269,0.288,2,12
7.5,0.369,0.192,2,12
8,0.419,0.157,2,12
8.5,0.531,0.486,2,12
9,0.569,0.152,2,12
9.5,0.506,0.129,2,12
10,0.306,0.103,2,12
10.5,0.55,0.259,2,12
11,0.263,0.075,2,12
11.5,0.363,0.061,2,12
12,0.394,0.066,2,12
12.5,0.431,0.067,2,12
13,0.456,0.066,2,12
13.5,0.444,0.067,2,12
14,0.263,0.067,2,12
14.5,0.25,0.066,2,12
15,0.194,0.105,2,12
15.5,0.163,0.185,2,12
16,0.088,0.115,2,12
16.5,0.056,0.135,2,12
17,0.05,0.185,2,12
17.5,0.038,0.109,2,12
18,0.019,0.113,2,12
18.5,0.006,0.584,2,12
19,0,0.197,2,12
19.5,0,0.385,2,12
20,0,0.194,2,12
20.5,0,0.17,2,12
21,0,0.198,2,12
21.5,0,0.14,2,12
22,0,0.096,2,12
22.5,0,0.075,2,12
23,0,0.066,2,12
23.5,0,0.065,2,12
